Pair,Average_VoverVmax,std_V_ratio,ARP220,IC0480,IC0540,IC0944,IC1151,IC1199,IC1683,IC2247,IC2487,IC4566,IC5376,NGC0444,NGC0447,NGC0477,NGC0496,NGC0523,NGC0528,NGC0551,NGC1167,NGC2253,NGC2347,NGC2410,NGC2480,NGC2487,NGC2623,NGC2639,NGC2730,NGC2880,NGC2906,NGC2916,NGC2918,NGC3303,NGC3381,NGC3687,NGC3811,NGC3815,NGC3994,NGC4047,NGC4149,NGC4185,NGC4210,NGC4211NED02,NGC4470,NGC4644,NGC4676A,NGC4711,NGC4961,NGC5000,NGC5016,NGC5056,NGC5205,NGC5218,NGC5394,NGC5406,NGC5480,NGC5485,NGC5520,NGC5614,NGC5633,NGC5657,NGC5682,NGC5732,NGC5784,NGC5876,NGC5908,NGC5930,NGC5934,NGC5947,NGC5953,NGC5980,NGC6004,NGC6021,NGC6027,NGC6060,NGC6063,NGC6081,NGC6125,NGC6146,NGC6155,NGC6168,NGC6186,NGC6301,NGC6310,NGC6314,NGC6361,NGC6394,NGC6478,NGC7738,NGC7819,UGC00809,UGC03253,UGC03969,UGC03973,UGC04029,UGC04132,UGC04280,UGC04461,UGC05108,UGC05111,UGC05359,UGC05498NED01,UGC05598,UGC06312,UGC07012,UGC08107,UGC08250,UGC08267,UGC09067,UGC09476,UGC09537,UGC09542,UGC09665,UGC09759,UGC09873,UGC09892,UGC10043,UGC10123,UGC10205,UGC10331,UGC10380,UGC10384,UGC10710
"('flux_AHa_corr_sm', 'flux_[OIII]4959_sm')",0.1181154804031625,0.08903234160167904,"(0.1055567356938988, 57.950647895950446, 549)","(0.1751963713996456, 262.6193607280688, 1499)","(0.1198040934456966, 70.32500285262394, 587)","(0.0298182260068396, 21.648032080965606, 726)","(0.1404502412337494, 338.90643209703734, 2413)","(0.0802881508012434, 112.72456372494574, 1404)","(0.1922340054201735, 161.4765645529458, 840)","(0.1267200432921767, 193.8816662370304, 1530)","(0.1648309958863842, 310.0471032622888, 1881)","(0.0193654842757276, 27.692642514290515, 1430)","(0.0909548650118509, 173.99665676767094, 1913)","(0.0796296399380426, 126.92964606124004, 1594)","(0.0423394516868392, 77.43885713522904, 1829)","(-0.0237344307860687, -53.66354800730152, 2261)","(-0.0064356816784291, -15.19464444277127, 2361)","(0.264133618600153, 527.7389699631057, 1998)","(0.1061685698939436, 79.6264274204577, 750)","(0.0600604636719927, 133.2141084244799, 2218)","(0.1088110598992942, 196.07752993852824, 1802)","(0.0338448720974874, 96.28866111735172, 2845)","(0.061327679168276, 164.66481856682103, 2685)","(0.1284351844723523, 200.6157581458144, 1562)","(0.250667757934721, 200.2835385898421, 799)","(0.0273326364448396, 74.26277322062931, 2717)","(0.2542938064729871, 175.4627264663611, 690)","(0.241020771926592, 423.9555378188755, 1759)","(0.1110090851169996, 326.47771932909586, 2941)","(0.1905944641843659, 0.7623778567374638, 4)","(0.0938126258675755, 230.9666848859709, 2462)","(0.1280686431370316, 363.3307405797588, 2837)","(0.0329741301233941, 21.729951751316715, 659)","(0.2167391724675482, 253.58483178703148, 1170)","(0.0838267398471054, 253.4082345577996, 3023)","(0.015780603621442, 45.4954802406173, 2883)","(0.09870078437572, 286.0348731208365, 2898)","(0.1571662852973323, 353.30980934840306, 2248)","(0.3351862365152758, 803.4414089271161, 2397)","(0.0815603614097221, 236.19880664255524, 2896)","(0.2181460027962276, 369.3211827340133, 1693)","(-0.0104308816378794, -27.47494223417456, 2634)","(0.0381057231188157, 109.13479101228836, 2864)","(0.3285151072278006, 55.19053801427051, 168)","(0.1305024503001087, 329.5186870077745, 2525)","(0.1048638344161687, 153.31092591643866, 1462)","(0.1335046760369892, 130.3005638121015, 976)","(0.1182180909116865, 191.2768710951089, 1618)","(0.1095796096111824, 270.77121534923185, 2471)","(0.0495251223809629, 95.18728521621078, 1922)","(0.0937680238431669, 240.32744511003693, 2563)","(0.0780749215806675, 205.8835682082204, 2637)","(-0.000781982992236, -2.0800747593478355, 2660)","(0.0920969395342144, 143.5791287338403, 1559)","(0.2580042353299924, 362.7539548739693, 1406)","(-0.0034589693763205, -10.325023588316943, 2985)","(0.1894088431757951, 445.8684168358217, 2354)","(0.0162719790884779, 21.93462781126833, 1348)","(0.0796623198013757, 206.8033822043714, 2596)","(0.1153355753726526, 232.0551776497772, 2012)","(0.1259168387282388, 314.2884294656841, 2496)","(0.2504646484736657, 438.0626701804414, 1749)","(0.3167477118065551, 551.1410185434058, 1740)","(0.1636565520119293, 404.0680269174535, 2469)","(0.2708430159416497, 442.5574880486556, 1634)","(0.0089770627444967, 17.648905355680544, 1966)","(0.117584644299039, 293.49127217040154, 2496)","(0.1398889907943112, 291.80843479693334, 2086)","(-0.1348717578750044, -45.45178240387651, 337)","(0.0988043131812519, 247.50480451903616, 2505)","(0.1516399198231416, 345.43573735711664, 2278)","(0.0841842393937366, 115.92169764517534, 1377)","(0.0840727009121965, 244.39934155175527, 2907)","(0.1827330261238762, 124.25845776423584, 680)","(0.2124013757552775, 272.72336646977635, 1284)","(-0.0085991708554751, -18.86658085691238, 2194)","(-0.0202057234820677, -49.09990806142464, 2430)","(0.1355082668846864, 110.43923751101946, 815)","(-0.0765773916227928, -21.74797922087316, 284)","(0.1703869038376951, 167.83110028012965, 985)","(0.0784673647582642, 224.1027937496028, 2856)","(0.196825938337609, 331.25805422219594, 1683)","(0.1587941227176805, 350.458628837921, 2207)","(0.0005624700614539, 0.6490904509178337, 1154)","(0.0407806632867413, 66.43170049410169, 1629)","(0.1714694749331514, 106.82548288335332, 623)","(0.0951779974501718, 187.97654496408947, 1975)","(0.1427078117446225, 131.7193102402866, 923)","(0.0415954563209198, 59.98064801476644, 1442)","(0.166642697284126, 366.1140059332249, 2197)","(0.1404475573354678, 390.584656949936, 2781)","(0.253570009131035, 203.3631473230901, 802)","(0.0128328234180337, 20.31435947074749, 1583)","(0.1225112548371373, 58.315357302477366, 476)","(0.1595859369057057, 390.1876157344505, 2445)","(0.0263998283814397, 23.179049318904127, 878)","(0.0830420315899223, 113.1862890570642, 1363)","(0.1511820000723632, 113.23531805420008, 749)","(0.0334945252549788, 59.55326590335235, 1778)","(0.1547934974422564, 127.395048394977, 823)","(0.0556395178856516, 48.35074104263126, 869)","(0.0668814624720996, 101.92734880747985, 1524)","(0.1015052913220341, 79.27563252250867, 781)","(0.1465948826056447, 213.44214907381877, 1456)","(0.1376981385348775, 60.86257723241586, 442)","(0.2546061773420947, 697.3663197399974, 2739)","(0.0823817621169336, 154.13627692078285, 1871)","(0.1712429788710076, 104.45821711131464, 610)","(0.1927980066284643, 148.06886909066066, 768)","(0.1410954433500848, 271.74982389226346, 1926)","(0.0561154788031655, 143.76785669371023, 2562)","(0.015721679494193, 20.54823509891029, 1307)","(0.1226294452942634, 217.9125242879062, 1777)","(0.3180664779014312, 327.9265387163756, 1031)","(-0.0064248977968562, -3.745715415567203, 583)","(0.1740656833254263, 190.0797261913656, 1092)","(0.1508266806377888, 188.38252411659823, 1249)","(0.178038595713608, 340.23175640870505, 1911)","(0.2449400207759463, 400.4769339686722, 1635)","(0.1011419430777345, 87.08321298992945, 861)","(0.2529914460181369, 293.21708593502063, 1159)","(-0.0610542433023752, -49.33182858831919, 808)","(0.3087701736983324, 390.9030399020888, 1266)","(0.1419314715828785, 167.6210679393796, 1181)"
"('flux_AHa_corr_sm', 'flux_[OII]3727_sm')",0.12337318263670721,0.10255250819442227,"(0.0360412105192797, 19.78662457508456, 549)","(0.1908808044338879, 286.130325846398, 1499)","(0.0283986157522054, 4.572177136105079, 161)","(0.0582949558881001, 42.3221379747607, 726)","(-0.0027040899770822, -0.7409206537205456, 274)","(0.0631900251281244, 88.71879527988676, 1404)","(0.255442038545512, 214.57131237823012, 840)","(0.2162465281777616, 330.8571881119753, 1530)","(0.0554251791576499, 104.25476199553954, 1881)","(0.0502767170337044, 71.89570535819743, 1430)","(0.1000388247656975, 191.3742717767795, 1913)","(0.136785923805311, 218.0367625456657, 1594)","(0.080449657656036, 147.14242385288992, 1829)","(0.0444058754030947, 100.40168428639724, 2261)","(0.1011917094337311, 238.91362597303916, 2361)","(0.1674850804722671, 334.6351907835898, 1998)","(0.0634885908403225, 47.6164431302419, 750)","(0.0979295704467681, 217.20778725093183, 2218)","(0.1422702745505176, 256.3710347400328, 1802)","(0.0472041938523781, 134.29593151001595, 2845)","(0.0815670220879598, 219.00745430617224, 2685)","(0.1572784099386738, 245.66887632420853, 1562)","(-0.0712765266238339, -33.64252056644961, 472)","(0.014856195661671, 40.36428361276026, 2717)","(0.2187847503524933, 150.96147774322043, 690)","(0.1090430218649129, 191.80667546038188, 1759)","(0.1385712553626616, 407.538062021588, 2941)","(nan, nan, 0)","(0.1179217481781345, 54.12608241376376, 459)","(0.165350842360248, 469.1003397760236, 2837)","(0.0781749420183695, 51.51728679010552, 659)","(0.2590966825232291, 303.143118552178, 1170)","(nan, nan, 0)","(0.036842187320797, 106.21602604585787, 2883)","(0.1527452873482015, 442.655842735088, 2898)","(0.0580576863728184, 130.51367896609585, 2248)","(0.3109378107274608, 745.3179323137236, 2397)","(0.0911620147673184, 264.0051947661541, 2896)","(0.1879057216268357, 318.1243867142329, 1693)","(-0.0029483526829896, -7.765960966994641, 2634)","(0.0666143051080248, 190.78336982938305, 2864)","(0.3909034414258105, 65.67177815953617, 168)","(0.1364838011993657, 226.83607759334583, 1662)","(0.0935013559657377, 136.69898242190862, 1462)","(0.2722756825566285, 265.7410661752694, 976)","(0.0440882411540331, 71.3347741872256, 1618)","(0.0930497973795837, 229.9260493249513, 2471)","(0.0541937639149814, 104.16041424459434, 1922)","(0.0799736323873595, 204.97241980880244, 2563)","(0.1165051879243032, 307.2241805563877, 2637)","(0.3108091897100843, 18.95936057231514, 61)","(0.0756205367233218, 117.89241675165871, 1559)","(0.3152522375488262, 443.2446459936497, 1406)","(0.0373402393772717, 111.46061454115626, 2985)","(0.2899859191194608, 17.39915514716765, 60)","(0.4557154856195456, 6.38001679867364, 14)","(0.4065979722427792, 21.95629050111008, 54)","(0.0924882204919927, 186.08629962988945, 2012)","(-0.0931524735937495, -153.60842895609298, 1649)","(0.1978069065893511, 345.9642796247751, 1749)","(0.0432420368150963, 51.11208751544386, 1182)","(0.1340774765190823, 331.03728952561426, 2469)","(0.2005965860718901, 327.7748216414684, 1634)","(0.0248715316492338, 48.89743122239366, 1966)","(0.0670506336530931, 167.35838159812042, 2496)","(0.1368877742786314, 277.471518462786, 2027)","(0.0928614279026123, 31.294301203180357, 337)","(0.0555035026452056, 139.0362741262402, 2505)","(0.2169236949692385, 9.544642578646496, 44)","(-0.1072982830548005, -147.7497357664603, 1377)","(-0.0220149370033183, -63.99742186864656, 2907)","(0.155813109390526, 105.95291438555768, 680)","(0.1379049791701801, 177.06999325451125, 1284)","(0.037728129999938, 82.77551721986401, 2194)","(0.0212667882649901, 51.67829548392597, 2430)","(0.0565647372269335, 46.10026083995088, 815)","(0.1010842316504045, 28.70792178871489, 284)","(0.244305890006978, 240.64130165687337, 985)","(0.0617347697652593, 168.78286053821896, 2734)","(0.2391695369297815, 402.5223306528223, 1683)","(0.028978616330455, 63.95580624131435, 2207)","(-0.0826761944749883, -95.4083284241365, 1154)","(0.0379238355900183, 61.7779281761399, 1629)","(0.2616563166782946, 163.01188529057754, 623)","(0.0804731053390801, 158.9343830446833, 1975)","(0.1990271763091539, 183.70208373334916, 923)","(0.1054732212501882, 152.09238504277147, 1442)","(0.0675277904179658, 148.35855554827103, 2197)","(0.0829620857025577, 230.71756033881317, 2781)","(0.1621409477197423, 130.03704007123335, 802)","(0.0335295825578047, 53.07732918900486, 1583)","(0.0638099845084397, 30.373552626017297, 476)","(0.1226811181472102, 299.9553338699289, 2445)","(0.0841575550238561, 73.89033331094566, 878)","(0.044825917129934, 61.09772504810015, 1363)","(0.1673337435218975, 125.33297389790128, 749)","(0.0865871175124513, 153.9518949371385, 1778)","(0.1971993653313487, 162.2950776677, 823)","(0.1642300555081119, 142.7159182365493, 869)","(0.1043565600136284, 159.03939746076978, 1524)","(0.2356376688043557, 184.03301933620185, 781)","(0.1286814719614022, 187.36022317580165, 1456)","(0.0044850982046344, 1.98241340644844, 442)","(0.2692365336420462, 737.4388656455646, 2739)","(0.2111609382159905, 395.08211540211823, 1871)","(0.2565577319260519, 156.5002164748917, 610)","(0.0733899377552165, 56.36347219600631, 768)","(0.2245712289606907, 432.5241869782903, 1926)","(0.1154636010006467, 295.8177457636569, 2562)","(0.0114359183131699, 14.946745235313175, 1307)","(0.1020915386404032, 181.41666416399653, 1777)","(0.3067141615736831, 316.22230058246726, 1031)","(0.019781929575703, 11.532864942634886, 583)","(0.2030632113767444, 221.74502682340488, 1092)","(0.1535223621701228, 191.74943035048344, 1249)","(0.1384242447986541, 43.74206135637472, 316)","(0.1440080667144856, 235.453189078184, 1635)","(0.1485716739541734, 127.92021127454336, 861)","(0.229116512993062, 265.5460385589589, 1159)","(-0.0335358987140555, -27.09700616095686, 808)","(0.3694108061560853, 467.674080593604, 1266)","(0.1096558334785528, 129.50353933817087, 1181)"
"('flux_[OI]6300_sm', 'flux_AHa_corr_sm')",0.13198659003473154,0.10019272360495919,"(0.2438197356529243, 133.85703487345546, 549)","(0.2825548845939027, 423.5497720062602, 1499)","(0.1988007705883824, 116.69605233538051, 587)","(-0.0132786445946088, -9.64029597568605, 726)","(0.1639962515314373, 395.7229549453582, 2413)","(0.0818125139272073, 114.86476955379912, 1404)","(0.2489465574080946, 209.1151082227995, 840)","(0.2289792840979536, 350.33830466986905, 1530)","(0.1513877633405443, 284.76038284356395, 1881)","(0.0087605433957768, 12.52757705596092, 1430)","(0.0770954410115743, 147.4835786551417, 1913)","(0.1805649935109631, 287.8205996564752, 1594)","(0.1269318263678224, 232.15831042674728, 1829)","(0.0352450963669338, 79.68916288563754, 2261)","(0.1015658538779206, 239.79698100577065, 2361)","(0.115257390790645, 230.2842667997088, 1998)","(0.0632988380056121, 47.474128504209126, 750)","(0.0250964239067588, 55.66386822519106, 2218)","(0.1527140825595184, 275.1907767722521, 1802)","(0.039475240888112, 112.3070603266787, 2845)","(0.1162238957577831, 312.0611601096478, 2685)","(0.1075600740008294, 168.0088355892956, 1562)","(0.1550618158560075, 123.89439086895, 799)","(0.0077646494948979, 21.096552677637835, 2717)","(0.377005635788695, 260.1338886941996, 690)","(0.1412149637435477, 248.3971212249004, 1759)","(0.0799280535407591, 235.0684054633726, 2941)","(-0.1714634991310167, -0.6858539965240669, 4)","(0.2135598105811119, 525.7842536506976, 2462)","(0.0865194919080286, 245.4557985430773, 2837)","(0.0341569584461744, 22.50943561602894, 659)","(0.2619462377867391, 306.4770982104847, 1170)","(0.1127613018503274, 340.87741549353984, 3023)","(0.1095317518516836, 315.78004058840406, 2883)","(0.0986952366983833, 286.0187959519148, 2898)","(0.1109981648113739, 249.52387449596867, 2248)","(0.2460640577424892, 589.8155464087467, 2397)","(0.057913142426194, 167.71646046625784, 2896)","(0.2056454832360038, 348.15780311855445, 1693)","(0.0693428239943948, 182.648998401236, 2634)","(-0.0006158281071144, -1.7637316987759226, 2864)","(0.1622800891410214, 27.2630549756916, 168)","(0.1274099206820662, 321.7100497222173, 2525)","(0.2344083655077306, 342.70503037230213, 1462)","(0.200906513594503, 196.084757268235, 976)","(0.1199493026380816, 194.07797166841613, 1618)","(0.0938809597128834, 231.9798514505349, 2471)","(0.0298522350647054, 57.375995794363824, 1922)","(0.0215664630521743, 55.27484480272281, 2563)","(0.1921660353514083, 506.7418352216637, 2637)","(-0.040742562307757, -108.37521573863374, 2660)","(0.0735673408833552, 114.69148443715076, 1559)","(0.2955995294644707, 415.6129384270459, 1406)","(0.0480233784006205, 143.34978452585247, 2985)","(0.1331422172018976, 313.41677929326704, 2354)","(-0.0533785053501187, -71.9542252119601, 1348)","(0.1810544445651606, 470.01733809115706, 2596)","(0.0492447160466718, 99.08036868590366, 2012)","(0.1285925236142872, 320.966938941261, 2496)","(0.2217296303122446, 387.805123416116, 1749)","(0.287208835373671, 499.7433735501874, 1740)","(0.1702575849758987, 420.365977305494, 2469)","(0.1759270176287041, 287.4647468053026, 1634)","(0.054819062003506, 107.7742758988929, 1966)","(0.1193467192363926, 297.889411214036, 2496)","(0.2168316770592502, 452.3108783455959, 2086)","(0.0249482819891647, 8.407571030348535, 337)","(0.0400999524755114, 100.45038095115623, 2505)","(0.1884955738964936, 429.39291733621246, 2278)","(0.1617175847719097, 222.68511423091965, 1377)","(0.0590204458666954, 171.5724361344836, 2907)","(0.3300748245137534, 224.45088066935236, 680)","(0.1194349338569243, 153.35445507229082, 1284)","(-0.0205219948907445, -45.02525679029356, 2194)","(0.0636853734360462, 154.75545744959226, 2430)","(0.1845327085850749, 150.39415749683607, 815)","(-0.036862153568127, -10.468851613348086, 284)","(0.2239719605716431, 220.61238116306848, 985)","(0.081855962226314, 233.7806281183528, 2856)","(0.2306461177188213, 388.1774161207762, 1683)","(0.1513834682196163, 334.1033143606932, 2207)","(0.0810119365696664, 93.48777480139508, 1154)","(0.1742287554149258, 283.8186425709143, 1629)","(-0.031342624340037, -19.526454963843072, 623)","(0.2037191890517893, 402.345398377284, 1975)","(0.2130465485755399, 196.64196433522335, 923)","(0.0943099225010901, 135.994908246572, 1442)","(0.1416326874217168, 311.16701426551185, 2197)","(0.1118868334362251, 311.1572837861422, 2781)","(0.274096933914953, 219.82574099979232, 802)","(0.02204424229078, 34.89603554630485, 1583)","(0.1451833639891004, 69.10728125881182, 476)","(0.1331980840138828, 325.66931541394354, 2445)","(0.1944272890528613, 170.7071597884123, 878)","(0.0425644892025045, 58.01539878301371, 1363)","(0.0830364908069665, 62.19433161441796, 749)","(0.2713952389027971, 482.5407347691733, 1778)","(0.1279844807379833, 105.33122764736032, 823)","(0.1482228009552298, 128.8056140300947, 869)","(0.0854053084262013, 130.15769004153077, 1524)","(0.0143695114142476, 11.222588414527385, 781)","(0.1196020368150714, 174.14056560274398, 1456)","(-0.0158842405536508, -7.0208343247136735, 442)","(0.2323703098909383, 636.4622787912801, 2739)","(0.1949679454359012, 364.7850259105713, 1871)","(0.2340273984445579, 142.75671305118036, 610)","(0.1031649230345385, 79.23066089052558, 768)","(0.1518721729348982, 292.5058050726139, 1926)","(0.0365487945841583, 93.6380117246138, 2562)","(0.0010631958869951, 1.389597024302675, 1307)","(0.122440607559429, 217.57695963310547, 1777)","(0.3781132226742982, 389.8347325772015, 1031)","(0.0225589791949064, 13.151884870630472, 583)","(0.1637380056078722, 178.80190212379648, 1092)","(0.2639858243734769, 329.71829464247264, 1249)","(0.1603974561108606, 306.5195386278547, 1911)","(0.3805707516354871, 622.2331789240214, 1635)","(0.1213884348335352, 104.51544239167384, 861)","(0.2734708568859876, 316.9527231308597, 1159)","(0.0762594323263183, 61.617621319665226, 808)","(0.4407718149822228, 558.017117767494, 1266)","(0.1315489762143283, 155.35934090912176, 1181)"
"('flux_[OI]6300_sm', 'flux_[OII]3727_sm')",0.13327289422631275,0.12377743634373832,"(0.1143862416062624, 332.74957683261755, 2909)","(0.278231629801845, 531.1441812917222, 1909)","(0.0169964394848564, 25.885577335436352, 1523)","(0.0445873028420015, 120.20736846203609, 2696)","(0.0931132755952599, 32.12408008036467, 345)","(0.1567189381301954, 270.6536061508475, 1727)","(0.1444055269078174, 437.6931520575947, 3031)","(0.1740209358297054, 400.24815240832254, 2300)","(0.0256247085651072, 66.3167457664976, 2588)","(0.0559815941735724, 162.34662310336014, 2900)","(0.1076938079133914, 280.9731448460383, 2609)","(0.1465660278382418, 311.5993751841022, 2126)","(0.1153548513266161, 296.57732276073017, 2571)","(0.0084410604843315, 22.52919043268078, 2669)","(0.1771702616447579, 533.1053172890765, 3009)","(0.2837803613399711, 795.152572474599, 2802)","(0.0612012294802824, 162.61166672911037, 2657)","(0.0535141447050641, 139.35083281198715, 2604)","(0.1149459327382012, 317.8255040211264, 2765)","(0.0297547380609917, 85.87217404402232, 2886)","(0.1934104917363192, 555.2815217749725, 2871)","(0.1271960841761897, 290.2614640900649, 2282)","(0.0089422517803266, 18.32267389788921, 2049)","(0.1141080041845375, 331.71196816445064, 2907)","(0.1364449541275032, 325.5576605482228, 2386)","(0.1078352955293162, 315.3104041277206, 2924)","(0.3085770184068991, 917.090898705304, 2972)","(0.1132354134436393, 32.838269898655405, 290)","(0.0779492462141678, 53.55113214913328, 687)","(0.052395458859015, 152.83755349174683, 2917)","(0.0256029229586137, 74.32528534885557, 2903)","(0.2921547057275779, 847.5408013157036, 2901)","(nan, nan, 0)","(0.107548048693817, 316.836551451985, 2946)","(0.1813261409970406, 528.9283532883676, 2917)","(0.1669823700986235, 490.4272209796574, 2937)","(0.392522029135397, 1137.5288404343803, 2898)","(0.080959986715233, 236.56508118191087, 2922)","(0.0902799822669411, 259.8257889642568, 2878)","(0.0387311791312453, 102.52143116040646, 2647)","(0.0209504803391942, 60.7563929836632, 2900)","(0.0153855286081815, 30.90952697383677, 2009)","(0.2244527800104626, 446.21212666079975, 1988)","(0.1064466876102085, 210.1257613425517, 1974)","(0.2183873666892146, 446.3837775127548, 2044)","(0.0446430384450953, 77.18781347156988, 1729)","(0.1619827547902362, 430.712144987238, 2659)","(0.1374062188760079, 397.1039725516629, 2890)","(0.0275850941508336, 78.0658164468592, 2830)","(0.4176620604447146, 1168.6184451243116, 2798)","(0.1990604318959222, 25.0816144188862, 126)","(0.1197022987488519, 344.02440660420035, 2874)","(0.2655908818527392, 744.1856509513752, 2802)","(0.0458708103570384, 137.06198134683078, 2988)","(-0.09941637152838, -26.14650571196396, 263)","(0.0016537356130511, 1.412290213545656, 854)","(-0.3087124999579259, -41.67618749431999, 135)","(0.1824704189210097, 467.1242724377849, 2560)","(0.1573134944283614, 300.7834013470272, 1912)","(0.2229071001867704, 545.676581257214, 2448)","(0.0358416252622443, 77.63296031802122, 2166)","(0.2193437045808578, 565.6874141140323, 2579)","(0.1710032304350995, 506.8535750096351, 2964)","(0.0885652698012697, 244.17444884210067, 2757)","(0.0685189032140979, 199.458527256239, 2911)","(0.157328294504093, 371.9240882076759, 2364)","(0.0692101642127816, 158.4220658830572, 2289)","(0.0865974416511828, 235.28524896626365, 2717)","(0.1980331134462436, 34.85382796653889, 176)","(0.0058119552641454, 10.304596683329924, 1773)","(0.0985472030867084, 286.57526657614824, 2908)","(0.0978823297677386, 284.44605030504863, 2906)","(0.0760214640269212, 181.0071058480995, 2381)","(-0.0397853851147324, -115.53675837318298, 2904)","(0.0332143146186214, 93.66436722451247, 2820)","(0.0352540031208739, 104.59862725963286, 2967)","(0.0502156304904983, 138.19341510985132, 2752)","(0.0812008736317389, 235.80733702657, 2904)","(0.2128001057415337, 605.8419010461465, 2847)","(0.4651092925088474, 1013.0080390842696, 2178)","(0.1017924731923954, 294.9945873115621, 2898)","(-0.0110126259560826, -24.76739577522992, 2249)","(-0.0244727123194419, -67.00628633063192, 2738)","(0.0583126381823629, 162.4590099760631, 2786)","(0.0763894402141855, 199.3764389590242, 2610)","(0.1793110354632024, 347.50478672768634, 1938)","(0.2593188336332525, 624.6990702225053, 2409)","(0.1165392783742116, 325.0280473856763, 2789)","(0.2453092278510134, 712.377997679343, 2904)","(0.3382793146518704, 465.4723369609737, 1376)","(0.0253247868013716, 48.31969321701713, 1908)","(0.2216492248301672, 257.5563992526544, 1162)","(0.1820587038543124, 491.1943829989351, 2698)","(0.1349517129942558, 220.3761473196198, 1633)","(0.3432439459759128, 650.7905215703307, 1896)","(0.069188569886967, 94.58077503548392, 1367)","(0.3979418304273814, 812.5972177327128, 2042)","(0.119811470594677, 309.23340560486145, 2581)","(0.0718724772019335, 184.927883840575, 2573)","(0.086061852349904, 183.74205476704515, 2135)","(0.1582460506189675, 375.6761241694289, 2374)","(0.2606439745372488, 684.7117211093525, 2627)","(0.0301165321446157, 73.06270698283787, 2426)","(0.3400528968351936, 942.6266300271566, 2772)","(0.2672702428148794, 749.4257608529219, 2804)","(0.2806939902266697, 427.7776411054447, 1524)","(0.129578522481065, 224.8187365046479, 1735)","(0.1975125714783256, 431.76248125161976, 2186)","(0.1629510801869717, 482.17224627324936, 2959)","(0.0419157436695005, 93.84935007601166, 2239)","(0.1305726074142901, 288.3043171707526, 2208)","(0.3804979493632803, 447.0850905018543, 1175)","(-0.0028651357113606, -5.615665994266828, 1960)","(0.23827763459428, 506.1016958782509, 2124)","(0.0552733162042182, 119.44563631731556, 2161)","(-0.1246632689791335, -63.07961410344158, 506)","(0.1743166504560325, 382.1020977996233, 2192)","(0.0498044906393317, 144.53263183534074, 2902)","(0.5320177074073408, 711.839692511022, 1338)","(-0.0132624032101242, -29.13749985264307, 2197)","(0.4561144840378567, 861.1441458634736, 1888)","(0.1983366485873114, 372.6745626955581, 1879)"
